Date,Description,Debit,Credit,Balance
03/07/2023,UPI/FRIEND,,10000.00,15000.00
06/07/2023,UPI/PAYMENT,9000.00,,6000.00
13/07/2023,CASH DEPOSIT,,8000.00,14000.00
16/07/2023,CHQ BOUNCE CHARGES,500.00,,13500.00
16/07/2023,ATM CASH,7000.00,,6500.00
23/07/2023,IMPS/TRANSFER,,4000.00,10500.00
26/07/2023,UPI/OUT,5500.00,,5000.00
03/09/2023,UPI/FRIEND,,10000.00,15000.00
06/09/2023,UPI/PAYMENT,9000.00,,6000.00
13/09/2023,CASH DEPOSIT,,8000.00,14000.00
16/09/2023,ATM CASH,7000.00,,7000.00
23/09/2023,IMPS/TRANSFER,,4000.00,11000.00
26/09/2023,UPI/OUT,5500.00,,5500.00
03/11/2023,UPI/FRIEND,,10000.00,15500.00
06/11/2023,UPI/PAYMENT,9000.00,,6500.00
13/11/2023,CASH DEPOSIT,,8000.00,14500.00
16/11/2023,CHQ BOUNCE CHARGES,500.00,,14000.00
16/11/2023,ATM CASH,7000.00,,7000.00
23/11/2023,IMPS/TRANSFER,,4000.00,11000.00
26/11/2023,UPI/OUT,5500.00,,5500.00
03/01/2024,UPI/FRIEND,,10000.00,15500.00
06/01/2024,UPI/PAYMENT,9000.00,,6500.00
13/01/2024,CASH DEPOSIT,,8000.00,14500.00
16/01/2024,ATM CASH,7000.00,,7500.00
23/01/2024,IMPS/TRANSFER,,4000.00,11500.00
26/01/2024,UPI/OUT,5500.00,,6000.00
03/03/2024,UPI/FRIEND,,10000.00,16000.00
06/03/2024,UPI/PAYMENT,9000.00,,7000.00
13/03/2024,CASH DEPOSIT,,8000.00,15000.00
16/03/2024,ATM CASH,7000.00,,8000.00
16/03/2024,CHQ BOUNCE CHARGES,500.00,,7500.00
23/03/2024,IMPS/TRANSFER,,4000.00,11500.00
26/03/2024,UPI/OUT,5500.00,,6000.00
03/05/2024,UPI/FRIEND,,10000.00,16000.00
06/05/2024,UPI/PAYMENT,9000.00,,7000.00
13/05/2024,CASH DEPOSIT,,8000.00,15000.00
16/05/2024,ATM CASH,7000.00,,8000.00
23/05/2024,IMPS/TRANSFER,,4000.00,12000.00
26/05/2024,UPI/OUT,5500.00,,6500.00
